iter	F1	Logloss
110	0.7492716262	0.4559947532
111	0.7498779893	0.4559161418
112	0.7498779893	0.4559161198
113	0.7492904447	0.4557060175
114	0.7494888462	0.4555495427
115	0.7494505495	0.4553788277
116	0.7491181187	0.4551961656
117	0.7489881634	0.4551299096
118	0.7487967731	0.4549912433
119	0.7490183496	0.4549056697
120	0.750198546	0.4547671806
121	0.7496217967	0.4546526271
122	0.7497249052	0.4546070723
123	0.7495376527	0.4545963659
124	0.7495491089	0.4545898964
125	0.7495605655	0.454572143
126	0.7496522311	0.4544176577
127	0.7494494739	0.4542642295
128	0.7496214265	0.4541541043
129	0.7498432218	0.4539333448
130	0.7494185335	0.4539014801
131	0.7495561677	0.4536709463
132	0.7492114048	0.4535420755
133	0.7491499464	0.453513467
134	0.7493376216	0.4534970749
135	0.7490196078	0.4534676448
136	0.7491499464	0.4534200749
137	0.748935127	0.4532918456
138	0.7496630315	0.4529796549
139	0.7495557326	0.452973736
140	0.7490958132	0.4527244031
141	0.7488349276	0.4526614031
142	0.7489727078	0.4525297115
143	0.7489727078	0.4525290784
144	0.7493254844	0.452482152
145	0.7488150205	0.4523832631
146	0.7489069236	0.4522946619
147	0.7493058858	0.4519809384
148	0.7492213511	0.4518815446
149	0.7492328464	0.4518568673
150	0.7492402615	0.4517049818
151	0.7492517612	0.4516957035
152	0.7492591853	0.4516032053
153	0.7497544204	0.4513805575
154	0.7495854063	0.4511576393
155	0.7492090795	0.4509739228
156	0.7494432926	0.450730485
157	0.7495623868	0.4506558327
158	0.7496699315	0.4502816209
159	0.7500345362	0.4501962995
160	0.7499116974	0.4501449093
161	0.7499001812	0.450139404
162	0.7499116974	0.4500972549
163	0.7497465827	0.4500840277
164	0.7498502327	0.4499936137
165	0.7498617512	0.4499857045
166	0.7501420956	0.4498825633
167	0.7501420956	0.4498676655
168	0.7500806687	0.4498104526
169	0.7501267729	0.4497784122
170	0.7501613548	0.4497047394
171	0.7501728828	0.4497023531
172	0.7501307009	0.4495267281
173	0.7501537705	0.4495232984
174	0.7501768415	0.4494281945
175	0.7504842727	0.449269314
176	0.7504842727	0.4492693139
177	0.7504727351	0.449257068
178	0.7506148549	0.4490827939
179	0.750576586	0.4489192245
180	0.7502962587	0.4486619227
181	0.7502463054	0.4486022383
182	0.7501770157	0.4485446248
183	0.75004235	0.4485156503
184	0.7501771902	0.4483009792
185	0.7506738752	0.4481903981
186	0.7501771902	0.4479422187
187	0.750092467	0.4477886179
188	0.7503390457	0.4477286269
189	0.7503737382	0.4477089847
190	0.75060876	0.4475385217
191	0.750739645	0.4474640175
192	0.7505624904	0.4473408352
193	0.7507013163	0.4472936747
194	0.750928337	0.4472233349
195	0.7509167668	0.4471431498
196	0.750905197	0.4471067954
197	0.7507974912	0.4470453702
198	0.7506398199	0.4468536515
199	0.7507938955	0.446740289
